City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Clyde River,70.4692,-68.5914,-30.77,68,100,8.05,CA,1643674952
Kayerkan,69.3497,87.7602,5.52,77,99,7.78,RU,1643674953
São Domingos,-13.3983,-46.3183,70.23,89,97,2.89,BR,1643674954
Revda,56.801,59.9303,11.21,99,98,3.51,RU,1643674954
Langham,52.3668,-106.9679,6.03,90,100,23.44,CA,1643674715
Port Hardy,50.6996,-127.4199,44.76,81,75,10.36,CA,1643674957
Mahajanga,-15.7167,46.3167,78.82,94,20,3.44,MG,1643674957
Pisco,-13.7,-76.2167,71.65,78,75,18.41,PE,1643674958
Kintampo,8.0563,-1.7306,75.9,13,100,2.91,GH,1643674959
Inuvik,68.3499,-133.7218,1.44,84,75,9.22,CA,1643674960
Manokwari,-0.8667,134.0833,78.76,74,100,11.21,ID,1643674760
Filingué,14.3521,3.3168,64.74,12,0,10.27,NE,1643674961
Nador,35.174,-2.9287,64.65,39,0,10.36,MA,1643674962
Xiongyue,40.1774,122.1228,16.09,70,37,12.28,CN,1643674963
Pemangkat,1.1667,108.9667,76.48,87,79,4.21,ID,1643674964
Cayenne,4.9333,-52.3333,80.1,83,40,5.99,GF,1643674965
Pochutla,15.7432,-96.4661,80.82,64,15,9.86,MX,1643674966
Auki,-8.7676,160.7034,85.86,66,100,1.34,SB,1643674967
Yumen,40.2833,97.2,14.4,30,96,5.79,CN,1643674968
Neiafu,-18.65,-173.9833,84.88,70,20,5.75,TO,1643674969
Paamiut,61.994,-49.6678,20.88,79,100,16.35,GL,1643674969
Guilin,25.2819,110.2864,39.31,90,99,7.11,CN,1643674970
Machacamarca,-18.1667,-67.0333,51.78,71,73,14.65,BO,1643674971
Las Varas,21.1667,-105.1667,85.48,58,0,4.61,MX,1643674972
Juneau,58.3019,-134.4197,27.21,89,91,4.85,US,1643674724
Zhigansk,66.7697,123.3711,-30.69,99,88,7.34,RU,1643674942
Eruwa,7.5333,3.4167,73.6,36,54,1.1,NG,1643674974
Kenora,49.8167,-94.4337,22.98,73,100,10.36,CA,1643674975
Cap Malheureux,-19.9842,57.6142,79.47,72,67,8.99,MU,1643674976
Chidambaram,11.4,79.7,73.78,82,16,4.79,IN,1643674976
Gijang,35.2442,129.2139,38.93,51,11,12.64,KR,1643674977
Margate,51.3813,1.3862,41.95,83,38,1.99,GB,1643674978
Merauke,-8.4667,140.3333,80.56,79,100,10.83,ID,1643674978
Darhan,49.4867,105.9228,-16.06,98,40,3.85,MN,1643674979
Zyryanka,65.75,150.85,-12.08,94,100,11.48,RU,1643674980
Bourail,-21.5667,165.4833,84.25,62,100,5.99,NC,1643674981
Lorca,37.6712,-1.7017,57.34,38,0,8.05,ES,1643674983
Pacific Grove,36.6177,-121.9166,59.58,84,0,1.01,US,1643674732
Atuntaqui,0.3333,-78.2167,55.22,95,97,2.26,EC,1643674984
São Félix do Xingu,-6.6447,-51.995,71.64,97,98,1.1,BR,1643674985
San Quintín,30.4833,-115.95,61.56,61,84,10.85,MX,1643674986
Rocha,-34.4833,-54.3333,60.15,63,6,6.4,UY,1643674947
Onokhoy,51.932,108.0747,-25.85,100,47,2.59,RU,1643674987
Goderich,43.7501,-81.7165,19.9,79,32,4.61,CA,1643674988
Samarai,-10.6167,150.6667,85.08,67,100,12.66,PG,1643674989
Sopela,43.3789,-2.9831,52.81,76,75,5.01,ES,1643674990
Acajutla,13.5928,-89.8275,78.8,64,3,8.12,SV,1643674991
Vao,-22.6667,167.4833,77.88,84,100,9.06,NC,1643674992
Midland,31.9974,-102.0779,63.95,26,0,4.61,US,1643674810
Quelimane,-17.8786,36.8883,73.2,86,0,2.24,MZ,1643674995
High Level,58.5169,-117.136,-5.69,77,75,0.0,CA,1643674995
Drymen,56.0655,-4.452,49.39,94,100,13.98,GB,1643674996
Biltine,14.5333,20.9167,58.8,20,2,17.07,TD,1643674997
Half Moon Bay,37.4636,-122.4286,61.7,74,0,1.99,US,1643674952
Shubarshi,48.5872,57.1869,18.39,92,100,8.34,KZ,1643674999
Olinda,-8.0089,-34.8553,80.33,78,40,4.61,BR,1643674922
Kamenka,51.3223,42.7678,31.75,89,100,17.92,RU,1643675000
Tura,25.5198,90.2201,54.81,65,25,4.99,IN,1643675000
Tarakan,3.3,117.6333,81.9,83,20,3.44,ID,1643675001
Ialibu,-6.2821,143.9935,60.21,84,100,3.09,PG,1643675003
Puerto Colombia,10.9878,-74.9547,78.08,79,2,23.71,CO,1643675004
Sakakah,29.9697,40.2064,47.77,57,2,9.84,SA,1643675005
Derzhavīnsk,51.1,66.3167,18.63,94,100,15.08,KZ,1643675005
Moranbah,-22.0016,148.0466,86.68,53,22,6.26,AU,1643675006
Sitka,57.0531,-135.33,35.49,80,75,0.0,US,1643675007
Tamale,9.4008,-0.8393,76.28,11,93,7.45,GH,1643675008
Fort Nelson,58.8053,-122.7002,-4.41,77,75,5.75,CA,1643675008
Havre-St-Pierre,50.2334,-63.5986,12.79,72,100,11.5,CA,1643675009
Blackpool,53.8167,-3.05,47.79,90,99,25.86,GB,1643674742
Changji,44.0167,87.3167,0.39,85,75,2.24,CN,1643675010
Mandalgovi,45.7625,106.2708,2.3,57,3,6.22,MN,1643675011
Kamaishi,39.2667,141.8833,20.35,49,3,2.93,JP,1643675012
Miastko,54.0028,16.9826,27.52,78,80,4.7,PL,1643675013
Korla,41.7597,86.1469,21.79,56,50,1.23,CN,1643675014
Malchevskaya,49.0552,40.3625,28.17,90,97,14.32,RU,1643675016
Salina,38.8403,-97.6114,59.31,23,0,10.36,US,1643674735
Hīrna,9.2167,41.1,57.65,34,70,1.1,ET,1643675017
The Valley,18.217,-63.0578,78.66,72,1,7.81,AI,1643675018
Boende,-0.2167,20.8667,71.49,68,98,2.35,CD,1643675019
Waingapu,-9.6567,120.2641,82.13,75,61,16.06,ID,1643675019
Aschersleben,51.75,11.4667,35.89,97,100,10.38,DE,1643675021
Irbeyskoye,55.6428,95.4522,-14.48,100,75,1.39,RU,1643675021
Kyzyl-Suu,42.3414,78.0056,16.59,58,46,9.55,KG,1643675022
Airai,-8.9266,125.4092,67.42,70,78,5.57,TL,1643674808
Pierre,44.3683,-100.351,47.32,61,100,5.01,US,1643674500
Orotukan,62.2667,151.7,-9.18,99,100,4.23,RU,1643675024
Batticaloa,7.7102,81.6924,78.44,67,96,7.38,LK,1643675025
Nivala,63.9167,24.9667,5.68,97,68,4.21,FI,1643675026
Rūdsar,37.1376,50.288,48.25,58,100,4.25,IR,1643675027
Bergen,60.392,5.328,35.65,94,75,6.91,NO,1643674740
Abu Kamal,34.4506,40.9171,46.78,77,100,10.96,SY,1643675028
Makakilo City,21.3469,-158.0858,79.12,58,0,8.05,US,1643674801
San Jose,37.3394,-121.895,61.41,68,100,4.61,US,1643674966
Piranshahr,36.701,45.1413,21.29,76,100,3.65,IR,1643675030
Lubango,-14.9172,13.4925,58.32,68,100,5.32,AO,1643675031
Alyangula,-13.8483,136.4192,85.87,84,40,13.8,AU,1643675031
Pindiga,9.9833,10.9333,63.72,25,2,11.36,NG,1643675032
Ibirapitanga,-14.1642,-39.3736,72.45,99,34,1.57,BR,1643675033
Riberalta,-10.9833,-66.1,73.94,88,80,2.1,BO,1643675034
Marsh Harbour,26.5412,-77.0636,64.63,52,0,9.78,BS,1643675035
Sakaraha,-22.9,44.5333,70.2,63,8,6.11,MG,1643675035
Upington,-28.4478,21.2561,70.18,94,75,5.75,ZA,1643675036
Tautira,-17.7333,-149.15,84.22,78,33,19.39,PF,1643675037
Bayjī,34.9311,43.487,47.68,77,100,9.8,IQ,1643675038
Rio Claro,-22.4114,-47.5614,72.39,95,100,3.67,BR,1643674803
Lincoln,40.8,-96.667,55.78,27,0,3.0,US,1643674981
Bathsheba,13.2167,-59.5167,79.41,78,40,9.22,BB,1643675039
Faya,18.3851,42.4509,53.71,83,6,5.77,SA,1643675040
Huarmey,-10.0681,-78.1522,71.92,80,84,8.61,PE,1643675041
Dumai,1.6833,101.45,74.32,92,91,1.01,ID,1643675042
Launceston,-41.45,147.1667,77.61,62,75,5.99,AU,1643675043
Porto Murtinho,-21.6989,-57.8825,86.41,35,47,4.23,BR,1643675044
Corinth,37.9407,22.9573,54.54,81,100,3.18,GR,1643675044
Namtsy,62.7161,129.6658,-23.69,100,100,2.39,RU,1643675045
Saint-Augustin,51.226,-58.6502,3.11,96,95,6.35,CA,1643675046
Novy Urengoy,66.0833,76.6333,-2.09,98,100,6.35,RU,1643674899
Cururupu,-1.8283,-44.8683,74.97,95,98,4.14,BR,1643675048
Waverly,42.7392,-84.6208,25.83,73,43,8.37,US,1643675048
Novocherkassk,47.4181,40.0939,33.82,86,0,15.66,RU,1643675049
Capitão Poço,-1.7464,-47.0594,72.36,93,100,5.91,BR,1643675050
Marzuq,14.4,46.4667,59.5,63,48,5.28,YE,1643675051
Paramonga,-10.6667,-77.8333,71.42,82,77,8.32,PE,1643675052
Alta Floresta,-9.8756,-56.0861,70.7,97,73,2.44,BR,1643675053
Saint-Joseph,-21.3667,55.6167,75.58,79,100,15.43,RE,1643675053
Port Keats,-14.25,129.55,82.18,80,57,22.37,AU,1643675054
Emmen,52.7792,6.9069,38.82,86,90,3.0,NL,1643675055
Kattivākkam,13.2167,80.3167,76.06,84,43,0.2,IN,1643675056
Hay River,60.8156,-115.7999,-5.82,71,40,8.05,CA,1643675057
Baker City,44.7749,-117.8344,32.59,93,75,8.05,US,1643675058
Beeville,28.4008,-97.7483,66.34,94,100,5.75,US,1643675058
Nouadhibou,20.931,-17.0347,67.98,73,100,6.91,MR,1643675059
Portage,41.1667,-81.1998,21.18,56,0,0.0,US,1643674911
Husavik,66.0449,-17.3389,22.91,92,100,14.81,IS,1643675061
Zabaykal'sk,49.6333,117.3167,-17.43,99,20,5.97,RU,1643675062
Offa,8.15,4.7167,71.49,14,61,4.14,NG,1643675062
Taunggyi,20.7833,97.0333,43.11,58,10,3.33,MM,1643675063
Mount Isa,-20.7333,139.5,85.77,66,40,9.22,AU,1643674963
Ancud,-41.8697,-73.8203,60.42,75,11,8.12,CL,1643675066
Sinnamary,5.3833,-52.95,76.8,86,100,9.4,GF,1643675067
Kasempa,-13.4584,25.8338,63.0,96,99,4.83,ZM,1643675069
Nyurba,63.2842,118.3319,-31.29,100,97,1.77,RU,1643675069
Puerto Madryn,-42.7692,-65.0385,72.36,28,48,14.41,AR,1643675071
Le Vauclin,14.5452,-60.8388,73.85,88,0,5.75,MQ,1643675072
Nuuk,64.1835,-51.7216,18.21,93,100,14.97,GL,1643675072
Gaziantep,37.0594,37.3825,35.53,93,75,5.75,TR,1643675074
Pilar,-9.5972,-35.9567,78.73,83,6,5.12,BR,1643675075
Stornoway,58.2093,-6.3865,49.96,92,75,15.01,GB,1643675049
Otta,61.7712,9.5353,10.29,94,90,2.37,NO,1643675077
Hearst,49.6835,-83.6665,17.85,93,98,10.18,CA,1643675042
Lüderitz,-26.6481,15.1594,65.66,87,9,5.5,NA,1643674799
Katherine,-14.4667,132.2667,77.32,88,75,13.8,AU,1643675079
Sioux Lookout,50.1001,-91.917,23.38,80,100,5.75,CA,1643675080
Neuquén,-38.9516,-68.0591,78.69,25,0,5.75,AR,1643675081
Sandwick,60.0,-1.25,42.62,93,100,24.16,GB,1643675082
Ballina,-28.8667,153.5667,87.98,69,40,9.22,AU,1643675083
Juruti,-2.1522,-56.0922,75.09,91,84,4.12,BR,1643675083
Paso de los Toros,-32.8167,-56.5167,65.82,52,0,13.11,UY,1643675084
Nuevo Progreso,23.1667,-97.95,73.6,64,56,1.01,MX,1643675085
Forsytheganj,52.6333,29.7333,24.87,94,100,11.68,BY,1643675085
Moindou,-21.6924,165.677,78.75,67,96,5.75,NC,1643675086
San Miguel de Cozumel,20.5083,-86.9458,70.95,77,20,3.0,MX,1643675048
Bonavista,48.6499,-53.1147,32.11,70,63,15.37,CA,1643675088
Ferkessédougou,9.6,-5.2,74.23,15,32,4.94,CI,1643675088
Riyadh,24.6877,46.7219,64.54,40,27,7.05,SA,1643674845
